286512252;41.76817;-8.583765;-0.149815;0.728992
493430582;41.76765;-8.579273;-0.1497366;0.728983
68906476;41.76675;-8.559856;-0.1493977;0.7289672
68906516;41.7644;-8.560451;-0.149408;0.7289264
68906538;41.7633;-8.56069;-0.1494122;0.728907
68906552;41.76276;-8.560774;-0.1494137;0.7288976
68906561;41.76221;-8.560821;-0.1494145;0.728888
68906569;41.76167;-8.560831;-0.1494147;0.7288786
68906576;41.76112;-8.560801;-0.1494142;0.7288691
68906586;41.76058;-8.560731;-0.1494129;0.7288596
68906594;41.76004;-8.56062;-0.149411;0.7288501
68906600;41.75949;-8.560456;-0.1494081;0.7288406
68906608;41.75895;-8.56026;-0.1494047;0.7288312
68906617;41.75842;-8.560026;-0.1494006;0.7288219
68906627;41.75789;-8.559745;-0.1493957;0.7288127
68906635;41.75737;-8.559428;-0.1493902;0.7288036
68906643;41.75686;-8.559068;-0.1493839;0.7287947
68906667;41.75533;-8.557916;-0.1493638;0.7287681
68906676;41.75482;-8.557563;-0.1493576;0.7287591
68906684;41.75429;-8.55726;-0.1493524;0.7287498
68906693;41.75374;-8.557005;-0.1493479;0.7287403
68906699;41.75319;-8.556798;-0.1493443;0.7287306
68906704;41.75263;-8.556643;-0.1493416;0.7287209
68906714;41.75207;-8.556535;-0.1493397;0.7287111
68906726;41.7515;-8.556481;-0.1493388;0.7287012
68906737;41.7509;-8.556481;-0.1493388;0.7286907
68906747;41.75032;-8.556521;-0.1493395;0.7286806
68906785;41.74797;-8.557268;-0.1493525;0.7286396
68906797;41.74739;-8.557613;-0.1493585;0.7286294
68906806;41.74686;-8.55801;-0.1493655;0.7286201
68906825;41.74575;-8.558778;-0.1493789;0.7286009
68906829;41.74519;-8.559143;-0.1493852;0.728591
68906836;41.74461;-8.559486;-0.1493912;0.728581
68906841;41.74403;-8.559795;-0.1493966;0.7285707
68906847;41.74346;-8.560049;-0.149401;0.7285609
68906853;41.74285;-8.560283;-0.1494051;0.7285502
68906859;41.74223;-8.56048;-0.1494086;0.7285393
68906866;41.7416;-8.560645;-0.1494114;0.7285284
68906943;41.73619;-8.561909;-0.1494335;0.7284339
68906986;41.7332;-8.56264;-0.1494463;0.7283818
68906990;41.73259;-8.562753;-0.1494482;0.7283711
68906994;41.73197;-8.562818;-0.1494494;0.7283603
68907002;41.73166;-8.562823;-0.1494495;0.7283548
68907177;41.72142;-8.551331;-0.1492489;0.7281761
68907223;41.71967;-8.5486;-0.1492012;0.7281455
68907237;41.71926;-8.548016;-0.149191;0.7281384
68907249;41.71884;-8.547456;-0.1491812;0.7281311
68907257;41.71841;-8.546921;-0.1491719;0.7281236
68910792;41.71692;-8.545328;-0.1491441;0.7280975
68910805;41.71799;-8.546245;-0.1491601;0.7281162
68910813;41.71876;-8.547026;-0.1491737;0.7281297
68910830;41.71946;-8.547853;-0.1491882;0.7281419
68910839;41.71987;-8.548449;-0.1491986;0.7281491
68910858;41.72068;-8.549695;-0.1492203;0.7281632
68910882;41.72147;-8.55097;-0.1492426;0.728177
68910934;41.72388;-8.55482;-0.1493098;0.728219
68911006;41.72704;-8.559781;-0.1493964;0.7282742
68911017;41.72746;-8.560363;-0.1494065;0.7282815
68911028;41.72791;-8.56088;-0.1494155;0.7282894
68911040;41.72839;-8.56133;-0.1494234;0.7282978
