2,3
3,3
4,5
5,6
6,8
2,12
3,17
4,26
5,32
6,42
2,6
3,8
4,12
5,15
6,20
2,5
3,4
4,6
5,7
6,11
7,12
8,15
9,17
10,21
11,32
12,27
13,29
14,33
15,35
16,39
17,43
18,46
19,51
20,54
21,56
2,1
3,3
4,5
5,7
6,11
7,12
8,15
9,17
10,20
11,23
12,26
13,29
14,33
15,35
16,40
17,43
18,47
19,50
20,55
21,56
2,1
3,3
4,5
5,7
6,10
7,12
8,15
9,17
10,20
11,26
12,26
13,28
14,32
15,36
16,39
17,43
18,46
19,51
20,54
21,56
2,1
3,3
4,5
5,7
6,10
7,12
8,15
9,17
10,20
11,23
12,27
13,29
14,33
15,35
16,39
17,41
18,47
19,51
20,54
21,56
2,1
3,3
4,5
5,7
6,10
7,12
8,15
9,17
10,20
11,23
12,58
13,62
14,69
15,77
16,85
17,89
18,101
19,106
20,116
21,122
2,3
3,7
4,12
5,16
6,22
7,26
8,33
9,38
10,71
11,21
12,25
13,27
14,30
15,32
16,36
17,39
18,43
19,46
20,50
21,52
2,1
3,3
4,5
5,7
6,9
7,13
8,14
9,15
10,19
11,19
12,22
13,23
14,27
15,29
16,32
17,35
18,39
19,41
20,45
21,47
2,1
3,2
4,4
5,6
6,8
7,11
8,12
9,14
10,17
11,19
12,22
13,23
14,39
15,29
16,33
17,35
18,39
19,41
20,45
21,47
2,1
3,2
4,4
5,6
6,8
7,11
8,12
9,14
10,16
11,19
12,21
13,24
14,26
15,29
16,33
17,35
18,41
19,42
20,45
21,46
2,1
3,3
4,4
5,6
6,8
7,10
8,12
9,14
10,17
11,19
12,22
13,24
14,27
15,29
16,32
17,34
18,38
19,41
20,45
21,46
2,1
3,2
4,4
5,6
6,8
7,10
8,12
9,14
10,17
11,19
12,21
13,23
14,27
15,29
16,33
17,35
18,38
19,41
20,44
21,46
2,1
3,2
4,4
5,6
6,9
7,10
8,12
9,14
10,17
11,19
12,22
13,24
14,27
15,29
16,32
17,35
18,38
19,42
20,44
21,46
2,1
3,3
4,4
5,9
6,17
7,10
8,12
9,14
10,17
11,19
12,22
13,24
14,27
15,29
16,32
17,34
18,38
19,42
20,45
21,46
2,1
3,3
4,4
5,6
6,8
7,10
8,12
9,14
10,16
11,20
12,22
13,23
14,27
15,29
16,32
17,34
18,38
19,41
20,44
21,47
2,1
3,2
4,4
5,6
6,8
7,10
8,13
9,14
10,17
11,19
12,22
13,24
14,27
15,29
16,33
17,34
18,38
19,41
20,44
21,49
2,1
3,3
4,4
5,6
6,8
7,10
8,12
9,14
10,17
11,19
12,22
13,23
14,27
15,29
16,32
17,34
18,38
19,50
20,47
21,46
2,1
3,2
4,4
5,7
6,8
7,10
8,12
9,14
10,17
11,28
12,24
13,26
14,29
15,33
16,36
17,38
18,43
19,46
20,54
21,47
2,1
3,2
4,13
5,16
6,17
7,10
8,21
9,14
10,17
11,19
12,21
13,24
14,27
15,29
16,32
17,34
18,39
19,41
20,45
21,48
2,1
3,2
4,5
5,6
6,8
7,10
8,12
9,14
10,17
11,62
12,21
13,23
14,26
15,29
16,32
17,34
18,39
19,41
20,44
21,49
2,1
3,2
4,4
5,6
6,8
7,10
8,12
9,14
10,17
11,18
12,22
13,23
14,27
15,29
16,32
17,35
18,38
19,41
20,44
21,46
2,14
3,16
4,23
5,28
6,42
7,44
8,54
