2,7
3,6
4,7
5,8
6,10
7,12
8,15
9,18
10,24
11,26
12,29
13,34
14,37
15,39
16,47
17,49
18,60
19,61
20,67
21,76
22,83
2,6
3,5
4,7
5,8
6,10
7,12
8,14
9,18
10,24
11,27
12,29
13,34
14,37
15,39
16,46
17,49
18,60
19,60
20,66
21,77
22,83
2,2
3,1
4,2
5,2
6,3
7,4
8,4
9,6
10,8
11,8
12,10
13,11
14,12
15,13
16,15
17,16
18,20
19,20
20,22
21,25
22,27
2,2
3,2
4,2
5,3
6,4
7,4
8,5
9,7
10,9
11,10
12,11
13,13
14,15
15,16
16,19
17,19
18,24
19,24
20,26
21,31
22,33
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,4
10,5
11,6
12,6
13,7
14,7
15,8
16,9
17,10
18,12
19,12
20,13
21,15
2,7
3,5
4,6
5,8
6,10
7,12
8,14
9,49
10,24
11,26
12,30
13,33
14,37
15,40
16,47
17,49
18,60
19,61
20,67
21,77
2,3
3,2
4,3
5,3
6,5
7,6
8,7
9,9
10,12
11,13
12,15
13,17
14,18
15,20
16,23
17,24
18,30
19,30
20,33
21,38
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,4
10,5
11,6
12,6
13,7
14,8
15,9
16,10
17,11
18,13
19,12
20,34
21,16
2,3
3,2
4,3
5,3
6,4
7,5
8,6
9,8
10,10
11,11
12,13
13,15
14,16
15,17
16,21
17,22
18,26
19,27
20,29
21,34
2,6
3,5
4,6
5,7
6,9
7,11
8,12
9,16
10,21
11,23
12,26
13,30
14,33
15,35
16,42
17,58
18,54
19,54
20,59
21,68
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,4
10,5
11,6
12,6
13,7
14,8
15,9
16,10
17,11
18,13
19,12
20,13
21,15
22,17
23,34
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,19
13,21
2,4
3,4
4,6
5,8
6,11
7,12
8,14
9,16
10,19
11,22
12,25
13,28
2,3
3,3
4,4
5,6
6,8
7,9
8,10
9,12
10,15
11,17
12,19
13,22
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,29
13,22
2,3
3,3
4,4
5,6
6,9
7,9
8,11
9,12
10,15
11,17
12,19
13,22
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,19
13,21
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,16
12,18
13,20
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,19
13,22
2,5
3,5
4,8
5,10
6,15
7,16
8,19
9,22
10,26
11,30
12,45
13,38
2,3
3,3
4,5
5,7
6,10
7,11
8,13
9,15
10,18
11,21
12,24
13,26
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,19
13,30
2,6
3,5
4,8
5,12
6,15
7,17
8,20
9,23
10,27
11,30
12,34
13,37
2,4
3,5
4,7
5,10
6,14
7,15
8,18
9,21
10,25
11,29
12,32
13,36
2,3
3,3
4,4
5,6
6,8
7,9
8,11
9,12
10,15
11,17
12,19
13,22
2,3
3,4
4,6
5,8
6,11
7,12
8,15
9,18
10,21
11,31
12,25
13,28
2,9
3,13
4,19
5,24
6,33
7,38
8,44
9,51
10,59
11,80
12,74
13,81
10,58
10,57
10,55
10,55
10,54
10,55
10,55
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,55
10,54
10,54
10,54
10,54
10,54
10,54
10,55
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,60
10,54
10,55
10,54
10,54
10,55
10,54
10,54
10,55
10,54
10,54
10,54
10,55
10,55
10,54
10,55
10,55
10,54
10,54
10,54
10,55
10,110
10,109
10,110
10,109
10,109
10,110
10,110
10,110
10,109
10,109
10,109
10,110
10,110
10,110
10,110
10,167
10,110
10,109
10,109
10,110
10,115
10,109
10,110
10,109
10,109
10,109
10,109
10,110
10,109
10,110
10,109
10,115
10,110
10,110
10,110
10,109
10,109
10,109
10,109
10,109
10,109
10,109
10,108
10,109
10,109
10,109
10,109
10,110
10,108
10,109
10,109
10,109
10,109
10,75
10,74
10,74
10,74
10,75
10,75
10,80
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,69
10,85
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,67
10,102
10,67
10,67
10,67
10,67
10,94
10,68
10,67
10,67
10,67
10,67
10,67
10,67
10,68
10,68
10,68
10,67
10,67
10,67
10,67
10,67
10,67
10,74
10,67
10,68
10,67
10,67
10,67
10,67
10,75
10,73
10,74
10,74
10,2264
10,70
10,70
10,70
10,70
10,70
10,70
10,70
10,25457
10,75
10,75
10,74
10,74
10,2300
10,71
10,70
10,70
10,70
10,70
10,70
10,70
10,25535
10,75
10,75
10,74
10,74
10,31
10,30
10,28
10,99
10,95
10,93
10,93
10,93
10,93
10,93
10,92
10,93
10,93
10,92
10,93
10,93
10,92
10,93
10,92
10,93
10,92
10,92
10,93
10,93
10,93
10,93
10,93
10,93
10,92
10,186
10,187
10,187
10,186
10,187
10,184
10,185
10,185
10,184
10,185
10,196
10,185
10,184
10,184
10,185
10,184
10,136
10,135
10,136
10,136
10,135
10,135
10,136
10,136
10,136
10,136
10,136
10,136
10,135
10,136
10,136
10,134
10,135
10,136
10,137
10,136
10,136
10,136
10,113
10,114
10,113
10,114
10,113
10,113
10,113
10,113
10,113
10,113
10,113
10,113
10,113
10,114
10,107
10,115
10,116
10,114
10,76
10,78
10,78
10,77
10,77
10,77
10,77
10,78
10,78
10,76
10,76
10,76
10,85
10,76
10,76
10,76
10,76
10,77
10,76
10,76
10,76
10,75
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,76
10,75
10,76
10,75
10,76
10,75
10,75
10,76
10,76
10,76
10,76
10,76
10,85
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,67
10,66
10,66
10,66
10,67
10,67
10,66
10,67
10,66
10,67
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,66
10,67
10,66
10,66
10,66
10,66
10,66
2,10
3,13
4,19
5,25
6,31
7,38
8,44
9,51
10,60
11,67
12,75
13,83
14,91
15,100
16,108
17,117
18,128
19,143
20,146
21,156
22,166
23,226
24,239
25,248
26,262
27,275
28,273
29,288
30,277
31,221
32,312
33,218
34,223
35,233
36,239
37,249
38,258
39,266
40,271
41,281
42,289
43,304
44,311
45,317
46,478
47,3630
48,3278
49,213
50,227
51,218
52,3832
53,3705
54,2978
55,448
56,424
57,269
58,4002
59,25903
60,292
61,3685
62,517
63,4631
64,520
65,2835
66,345
67,547
68,3049
69,21760
70,24543
71,342
72,592
73,723
74,661
75,446
76,23964
77,24124
78,5166
79,3196
80,709
81,25023
82,870
83,27244
84,754
85,4751
86,22196
87,24590
88,3663
89,3596
90,2683
91,1792
92,2992
93,4298
94,885
95,23305
96,26675
97,28484
98,23023
99,4825
100,22614
101,1144
102,4380
103,25016
104,22468
105,21177
106,754
107,28680
108,5670
109,4150
110,807
111,3577
112,23026
113,4133
114,5552
115,26675
116,22765
117,22845
118,909
119,26305
120,4747
121,24016
122,25058
123,24234
124,29896
125,26025
126,1447
127,26746
128,25712
129,29933
130,28593
131,4798
132,1087
133,4830
134,26712
135,23497
136,24673
137,25457
138,25343
139,23559
140,4343
141,4715
142,4765
143,25125
144,5767
145,26557
146,28160
147,26855
